1;11;6;
1;65;6;
2;43;4;
2;6;4;
2;39;4;
3;5;9;
3;45;2;
3;41;1;
4;71;9;
4;45;4;
4;38;1;
4;7;22;
5;31;20;
5;54;10;
6;69;10;
6;18;4;
7;69;9;
7;68;18;
7;45;3;
8;19;4;
8;24;4;
8;23;4;
9;9;8;
9;49;10;
9;38;2;
9;35;25;
10;36;6;
10;65;3;
10;32;2;
10;52;3;
11;52;20;
11;13;10;
12;69;6;
12;21;12;
12;45;2;
13;10;10;
13;47;26;
13;63;36;
14;13;18;
14;9;2;
15;70;8;
15;20;3;
15;46;3;
15;22;6;
16;71;10;
16;15;20;
17;71;9;
17;46;4;
17;38;1;
18;71;9;
18;46;4;
18;38;1;
18;72;31;
19;19;7;
19;1;7;
20;36;12;
20;32;2;
21;36;9;
21;45;6;
21;38;2;
21;62;16;
22;61;7;
22;1;7;
23;69;7;
23;1;7;
24;48;4;
24;25;4;
24;23;4;
25;48;4;
25;20;4;
25;52;4;
25;23;2;
26;27;4;
26;25;4;
26;23;4;
27;69;9;
27;48;3;
27;52;18;
28;9;8;
28;37;22;
29;42;8;
29;17;16;
29;23;6;
29;73;33;
30;74;6;
30;20;6;
30;45;6;
31;36;9;
31;45;6;
31;38;3;
31;62;12;
32;69;6;
32;20;6;
32;45;6;
33;33;18;
33;26;2;
34;13;18;
34;26;2;
35;69;3;
35;67;3;
35;71;3;
35;20;3;
35;36;3;
35;45;5;
35;38;6;
35;15;30;
36;71;6;
36;28;6;
36;51;3;
36;53;3;
36;59;1;
36;46;2;
37;60;10;
37;58;4;
37;2;30;
38;60;10;
38;32;4;
38;2;30;
39;60;10;
39;58;2;
39;32;2;
40;66;7;
40;20;4;
40;46;3;
41;36;11;
41;32;3;
42;36;11;
42;32;2;
42;58;2;
43;36;11;
43;58;3;
44;69;11;
44;32;3;
45;52;15;
45;13;15;
46;71;8;
46;46;6;
46;50;39;
46;63;36;
46;62;32;
47;36;6;
47;11;6;
47;65;6;
48;61;8;
48;64;25;
48;2;34;
48;62;32;
49;20;6;
49;6;6;
49;39;4;
50;36;7;
50;3;4;
50;52;3;
51;71;6;
51;16;6;
51;56;18;
52;28;12;
52;45;6;
52;41;2;
52;62;32;
53;9;3;
53;57;9;
53;35;2;
54;61;9;
54;58;5;
54;2;30;
55;32;9;
55;44;3;
55;14;2;
56;61;9;
56;30;5;
57;69;8;
57;40;20;
58;69;10;
58;52;20;
59;69;8;
59;22;24;
59;40;6;
60;69;8;
60;55;4;
60;52;8;
60;22;8;
61;36;8;
61;14;4;
61;20;1;
61;29;1;
61;41;2;
61;56;16;
61;45;6;
61;2;30;
62;66;9;
62;52;18;
62;41;3;
63;8;9;
63;45;6;
63;38;3;
63;34;30;
64;69;10;
64;18;4;
64;23;6;




















